CollEn	Particle	Cent	dETdEta	dETdEta_err	dNdEta	dNdEta_err	npart	nparterr
7.7	ala	0	0.276684	0.0413271	0.102039	0.0157793	337	2
7.7	ala	1	0.239101	0.0348671	0.0886334	0.0132085	290	6
7.7	ala	2	0.198575	0.021855	0.0745707	0.00851389	226	8
7.7	ala	3	0.156148	0.0212774	0.0600923	0.00845724	160	10
7.7	ala	4	0.105761	4.93685	0.0411505	2.15893	110	11
7.7	ala	5	0.0529634	0.0138778	0.0207461	0.00577675	59	45
7.7	ala	6	0.0132164	0.00616638	0.00532144	0.00259594	20	14
7.7	la_	0	3.54162	0.189049	8.50244	0.614572	337	2
7.7	la_	1	2.82651	0.174422	6.86507	0.581332	290	6
7.7	la_	2	1.99446	0.103413	4.98485	0.403265	226	8
7.7	la_	3	1.25008	0.0802739	3.2614	0.297922	160	10
7.7	la_	4	0.715572	0.0561883	1.91079	0.206598	110	11
7.7	la_	5	0.27886	0.0222769	0.833449	0.0891884	59	45
7.7	la_	6	0.0556351	0.00602282	0.185332	0.0285487	20	14
11.5	ala	0	1.12565	0.0953386	0.419754	0.0366992	338	2
11.5	ala	1	0.859085	0.0902791	0.320186	0.0349477	291	6
11.5	ala	2	0.712998	0.0612909	0.268516	0.0238909	226	8
11.5	ala	3	0.509833	0.0557625	0.193824	0.0220151	160	9
11.5	ala	4	0.339185	0.0494742	0.129754	0.0197347	110	10
11.5	ala	5	0.189496	0.0267561	0.0739993	0.0107731	59	45
11.5	ala	6	0.0505433	0.01036	0.020144	0.00423948	20	14
11.5	la_	0	3.44971	0.196259	7.93791	0.585174	338	2
11.5	la_	1	2.73314	0.201878	6.27803	0.706911	291	6
11.5	la_	2	1.98489	0.11843	4.77561	0.369011	226	8
11.5	la_	3	1.20605	0.0908808	2.94334	0.301392	160	9
11.5	la_	4	0.71353	0.0687036	1.87447	0.241662	110	10
11.5	la_	5	0.276135	0.0281145	0.769341	0.100386	59	45
11.5	la_	6	0.0629648	0.00829839	0.202973	0.0337549	20	14
19.6	ala	0	2.9072	0.138951	1.06594	0.0541871	338	2
19.6	ala	1	2.43499	0.0937618	0.892659	0.0346693	289	6
19.6	ala	2	1.90269	0.0588928	0.705547	0.0221133	225	9
19.6	ala	3	1.34256	0.0520945	0.503091	0.0200189	158	10
19.6	ala	4	0.914233	0.0487222	0.347445	0.0191303	108	11
19.6	ala	5	0.458092	0.021293	0.176408	0.00828234	58	44
19.6	ala	6	0.125491	0.0077127	0.0496286	0.00305937	20	14
19.6	ala	6	0.125491	0.0077127	0.0496286	0.00305937	20	14
19.6	la_	0	3.42189	0.108091	7.23217	0.247415	338	2
19.6	la_	1	2.71778	0.0967125	5.83411	0.225014	289	6
19.6	la_	2	2.00347	0.0552815	4.47379	0.12554	225	9
19.6	la_	3	1.23024	0.0403944	2.84702	0.0962	158	10
19.6	la_	4	0.732936	0.0306892	1.73422	0.0793301	108	11
19.6	la_	5	0.304485	0.0132351	0.79822	0.036803	58	44
19.6	la_	6	0.057579	0.00345278	0.171515	0.0117489	20	14
27	ala	0	4.40536	0.16935	1.6015	0.0628731	343	2
27	ala	1	3.66042	0.144431	1.33151	0.0530749	299	6
27	ala	2	2.88682	0.110829	1.06239	0.0427311	234	9
27	ala	3	2.08102	0.0761278	0.775225	0.0286531	166	11
27	ala	4	1.38235	0.0680004	0.519072	0.0261559	114	11
27	ala	5	0.69967	0.033654	0.26669	0.0130355	61	47
27	ala	6	0.198041	0.0128323	0.0775798	0.00508818	21	14
27	la_	0	3.32658	0.109265	6.9028	0.244857	343	2
27	la_	1	2.68452	0.0946303	5.60752	0.212427	299	6
27	la_	2	1.96185	0.0537292	4.19065	0.120244	234	9
27	la_	3	1.26757	0.0409952	2.79709	0.0975242	166	11
27	la_	4	0.758853	0.0304343	1.75085	0.0775505	114	11
27	la_	5	0.31605	0.012894	0.790696	0.0338906	61	47
27	la_	6	0.0642186	0.00365572	0.191348	0.012913	21	14
39	ala	0	6.454	0.315871	2.34963	0.120067	342	2
39	ala	1	5.64837	0.315306	2.08211	0.12124	294	6
39	ala	2	4.26419	0.216361	1.57057	0.0847222	230	9
39	ala	3	3.04354	0.197641	1.13286	0.0785003	162	10
39	ala	4	2.00793	0.124987	0.753279	0.0485946	111	11
39	ala	5	0.998596	0.0658856	0.381115	0.0258978	60	46
39	ala	6	0.263782	0.0325209	0.102436	0.0132031	20	14
39	la_	0	3.22676	0.117792	6.32868	0.325394	342	2
39	la_	1	2.65468	0.108878	5.45893	0.314813	294	6
39	la_	2	1.92727	0.0631278	3.99251	0.17612	230	9
39	la_	3	1.26339	0.0471653	2.7217	0.135842	162	10
39	la_	4	0.76613	0.0363794	1.68664	0.10485	111	11
39	la_	5	0.316106	0.0159676	0.766833	0.0521766	60	46
39	la_	6	0.0712899	0.00585677	0.199467	0.022964	20	14
62.4	la_	0	4.81998	0.163616	8.82589	0.401393	20	14
62.4	la_	1	3.92006	0.150038	7.23538	0.352851	20	14
62.4	la_	2	2.91384	0.0902624	5.4088	0.256311	20	14
62.4	la_	3	1.92221	0.0657825	3.66327	0.156619	20	14
62.4	la_	4	1.20217	0.0503673	2.38545	0.141837	20	14
62.4	la_	5	0.539568	0.0211786	1.13697	0.0502657	20	14
62.4	la_	6	0.124013	0.00922541	0.285135	0.022683	20	14
62.4	ala	0	13.2497	0.553735	4.77165	0.210494	20	14
62.4	ala	1	10.616	0.444138	3.81428	0.165397	20	14
62.4	ala	2	8.03866	0.250346	2.89694	0.0930481	20	14
62.4	ala	2	8.03866	0.250346	2.89694	0.0930481	0	5.1932e+07
62.4	ala	3	5.2994	0.173556	1.90702	0.0635433	0	5.1932e+07
62.4	ala	4	3.67964	0.147899	1.3457	0.0550839	0	5.1932e+07
62.4	ala	5	1.81637	0.0767558	0.673975	0.0291095	0	5.1932e+07
62.4	ala	6	0.489785	0.0550327	0.185287	0.0220191	0	5.1932e+07
130	la_	0	5.03249	0.387922	9.74212	0.867096	344	3
130	la_	1	3.96642	0.347705	7.64338	0.899965	289	5
130	la_	2	3.0946	0.23454	6.00415	0.48666	237	7
130	la_	3	1.71687	0.141291	3.47225	0.322046	187	8
130	la_	4	0.405347	0.0364051	0.941947	0.107834	65	0
130	ala	0	19.1311	1.97839	6.90511	0.77915	344	3
130	ala	1	15.2136	1.2483	5.48837	0.459285	289	5
130	ala	2	12.1919	1.01059	4.43327	0.377758	237	7
130	ala	3	7.28405	0.720271	2.69077	0.278539	187	8
130	ala	4	1.93746	0.182151	0.723599	0.0694075	65	0
200	la_	0	6.02905	0.564673	9.49557	0.857253	350	3
200	la_	1	3.58378	0.325623	5.82454	0.498598	299	4
200	la_	2	1.92202	0.172564	3.22084	0.268161	234	5
200	la_	3	0.697485	0.0653824	1.22053	0.104944	168	5
