CollEn	Particle	Cent	dETdEta	dETdEta_err	dNdEta	dNdEta_err	npart	nparterr
7.7	pi-	0	40.9911	2.64091	0.917038	99.9253	6.3882	337	2
7.7	pi-	1	34.8698	2.76115	0.712244	90.4737	8.84663	290	6
7.7	pi-	2	25.5232	1.64086	0.475405	62.7181	4.00386	226	8
7.7	pi-	3	17.762	1.36299	0.0124797	45.2589	4.15202	160	10
7.7	pi-	4	11.8843	0.963194	0.0539452	30.9465	3.08856	110	11
7.7	pi-	5	7.69012	0.691016	0.192347	20.9553	2.48514	72	10
7.7	pi-	6	4.54128	0.312012	0.0799403	12.1477	0.87965	45	9
7.7	pi-	7	2.5273	0.227878	0.00466669	7.00763	0.820531	26	7
7.7	pi-	8	1.22159	0.132931	0.0245385	3.37494	0.510882	14	4
7.7	pi+	0	38.5701	2.46575	1.23531	90.8534	5.68345	337	2
7.7	pi+	1	31.4862	2.02972	0.686079	75.5762	4.82101	290	6
7.7	pi+	2	24.1369	1.71426	0.354651	58.4034	4.60389	226	8
7.7	pi+	3	16.3143	1.0475	0.427827	39.6472	2.5177	160	10
7.7	pi+	4	10.7794	0.710607	0.280277	26.6773	1.78023	110	11
7.7	pi+	5	6.89963	0.462861	0.117386	17.7115	1.22512	72	10
7.7	pi+	6	4.23354	109.857	0.0814757	11.1783	490.105	45	9
7.7	pi+	7	2.32344	0.269077	0.0202064	6.30021	1.06905	26	7
7.7	pi+	8	1.1371	0.105407	0.019697	3.1591	0.375652	14	4
7.7	pi0	0	39.8301	2.55114	1.19486	96.4968	6.09261	337	2
7.7	pi0	1	33.3448	2.45457	0.0566665	84.634	7.24852	290	6
7.7	pi0	2	25.0693	1.80527	0.277604	62.3962	5.08839	226	8
7.7	pi0	3	16.8732	1.08272	0.446941	41.9474	2.67141	160	10
7.7	pi0	4	11.1597	0.732908	0.339011	28.1405	1.87385	110	11
7.7	pi0	5	7.36833	0.617354	0.0845888	19.9541	2.12415	72	10
7.7	pi0	6	4.39957	0.300287	0.075413	11.8696	0.854961	45	9
7.7	pi0	7	2.42627	0.206609	0.02152	6.73349	0.726777	26	7
