FIT	CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
bis	7.7	ala	0	1.11568	0.728161	0.015202	0.0756036	0.00220354	0.746664	0.210081	3.15507e+06	1.51156e+06	0.260272	0.0361024	0.0112619	0	1.86148e-05	0	0.271553	0.0361024	0.390694	0.0588715	0.0447015	0	1.97101e-05	0	0.435415	0.0588715	0.094919	0.0134783	0.00488664	0	4.11881e-06	0	0.0998098	0.0134783	0.145618	0.0226085	0.00488664	0	4.11881e-06	0	0.150508	0.0226085	337	2
tan	7.7	ala	0	1.11568	0.582021	0.0638683	0.108066	0.000993571	0.147591	0.340943	20541.7	733.418	0.260272	0.0361024	0.00931548	0.00837235	2.29441e-05	4.9558e-05	0.26961	0.0445243	0.390694	0.0588715	0.0344256	0.0367945	2.42837e-05	5.24258e-05	0.425144	0.0957183	0.094919	0.0134783	0.004034	0.003646	5.06178e-06	4.9558e-05	0.0989581	0.0171739	0.145618	0.0226085	0.004034	0.003646	5.06178e-06	1.08965e-05	0.149657	0.0262654	0	53673968
hag	7.7	ala	0	1.11568	7.04083	0.227508	50	6.15638	11.0586	0.755352	0.260272	0.0361024	0.0284728	0.00716222	0.000142752	9.01095e-05	0.288888	0.0433547	0.390694	0.0588715	0.127196	0.0314245	0.000150093	9.46414e-05	0.518041	0.0903906	0.094919	0.0134783	0.0124005	0.00311748	2.99114e-05	9.01095e-05	0.107349	0.0166859	0.145618	0.0226085	0.0124005	0.00311748	2.99114e-05	1.87042e-05	0.158048	0.0257447	32767	0
bis	7.7	ala	1	1.11568	0.58944	0.0525768	0.094594	0.00342844	0.111486	0.250907	95005.4	44917.6	0.225144	0.0331262	0.00732034	0.00170283	9.57881e-06	2.6001e-06	0.232474	0.0348316	0.337907	0.0544949	0.025729	0.00723585	1.01457e-05	2.75103e-06	0.363646	0.0617335	0.0825766	0.012445	0.00316556	0.000740699	2.12407e-06	2.6001e-06	0.0857443	0.0131883	0.126335	0.0210293	0.00316556	0.000740699	2.12407e-06	5.72408e-07	0.129502	0.0217705	290	6
tan	7.7	ala	1	1.11568	0.561608	0.039362	0.0965161	0.0104732	0.0138578	0.100059	72801.4	99807.2	0.225144	0.0331262	0.00731949	0.00180103	9.50279e-06	1.84525e-05	0.232473	0.0349457	0.337907	0.0544949	0.0257044	0.0070731	1.00654e-05	1.9534e-05	0.363622	0.0615875	0.0825766	0.012445	0.00316514	0.00078187	2.1075e-06	1.84525e-05	0.0857438	0.0132453	0.126335	0.0210293	0.00316514	0.00078187	2.1075e-06	4.07688e-06	0.129502	0.0218152	0	53673968
hag	7.7	ala	1	1.11568	6.78157	0.210057	50	5.56966	13.0896	1.00396	0.225144	0.0331262	0.0271347	0.00168462	7.70715e-05	1.29441e-05	0.252356	0.0348238	0.337907	0.0544949	0.121746	0.00762941	8.11334e-05	1.35909e-05	0.459734	0.0621379	0.0825766	0.012445	0.0118193	0.00073402	1.6317e-05	1.29441e-05	0.0944122	0.013192	0.126335	0.0210293	0.0118193	0.00073402	1.6317e-05	2.68087e-06	0.13817	0.021766	32767	0
bis	7.7	ala	2	1.11568	0.720071	0.0402817	0.0655355	0.0123627	0.808535	0.257744	2.95764e+07	1.04496e+08	0.184948	0.0185809	0.00999533	0.00300971	6.52727e-05	3.02441e-05	0.195008	0.0216208	0.284971	0.0311866	0.0396226	0.0143147	7.09352e-05	3.2782e-05	0.324664	0.0455341	0.0686783	0.0070536	0.00433499	0.00131313	1.64185e-05	3.02441e-05	0.0730297	0.00839698	0.107885	0.0121416	0.00433499	0.00131313	1.64185e-05	7.51745e-06	0.112236	0.0134623	226	8
tan	7.7	ala	2	1.11568	0.528894	0.0257691	0.100556	0.00823802	0.0100132	4.65571	38324	37988.9	0.184948	0.0185809	0.00810582	0.00151195	7.69111e-05	1.22877e-05	0.193131	0.0201051	0.284971	0.0311866	0.0293639	0.00671042	8.35178e-05	1.33104e-05	0.314418	0.0379103	0.0686783	0.0070536	0.00350656	0.000658358	1.92784e-05	1.22877e-05	0.0722041	0.00772425	0.107885	0.0121416	0.00350656	0.000658358	1.92784e-05	3.0462e-06	0.111411	0.012803	0	53673968
hag	7.7	ala	2	1.11568	7.29217	0.200058	50	5.24774	11.7554	0.732734	0.184948	0.0185809	0.0223628	0.00511742	0.000274029	0.000140639	0.207585	0.0238389	0.284971	0.0311866	0.0993665	0.0223147	0.000294915	0.0001511	0.384632	0.0536524	0.0686783	0.0070536	0.00973443	0.00222621	6.5624e-05	0.000140639	0.0784783	0.00942045	0.107885	0.0121416	0.00973443	0.00222621	6.5624e-05	3.33556e-05	0.117685	0.0144012	32767	0
bis	7.7	ala	3	1.11568	0.722046	0.0327007	0.0556586	0.0105237	1.27351	0.371183	7.31583e+08	3.02254e+09	0.14172	0.0165604	0.0129693	0.0102315	1.99939e-05	5.58965e-05	0.154709	0.0268478	0.230957	0.029063	0.0567828	0.047509	2.17702e-05	6.07144e-05	0.287762	0.0766328	0.0538265	0.00638662	0.00564199	0.00445895	5.07003e-06	5.58965e-05	0.0594736	0.0109015	0.0894596	0.0114874	0.00564199	0.00445895	5.07003e-06	1.40248e-05	0.0951066	0.0159604	160	10
