FIT	CollEn	particle	centrality	mass	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
bis	62.4	pi-	0	0.13957	60.8667	1.00862	17.4804	0.311906	6.61381	0.533362	84.9609	1.85389	64.4133	1.06938	29.0257	0.560852	6.68511	0.537122	100.124	2.16736	135.416	2.25559	83.031	1.55584	6.71468	0.533362	225.162	4.34479	144.676	2.41897	83.031	1.55584	6.71468	0.430995	234.421	4.40581	347	3
tan	62.4	pi-	0	0.13957	60.8667	1.00862	17.0683	0.385219	6.13295	0.435426	84.0679	1.82926	64.4133	1.06938	28.2203	0.788832	6.20071	0.438306	98.8343	2.29652	135.416	2.25559	80.884	2.04294	6.31678	0.435426	222.617	4.73395	144.676	2.41897	80.884	2.04294	6.31678	0.342091	231.877	4.804	347	3
hag	62.4	pi-	0	0.13957	60.8667	1.00862	17.558	0.0350404	9.32225	0.0813743	87.7469	1.12503	64.4133	1.06938	30.1205	0.0547275	9.41343	0.0820705	103.947	1.20618	135.416	2.25559	84.636	0.160537	8.92669	0.0813743	228.979	2.4975	144.676	2.41897	84.636	0.160537	8.92669	0.0721365	238.239	2.65165	347	3
bis	62.4	pi-	1	0.13957	49.3667	0.819164	14.4673	0.742196	5.2562	0.851346	69.0901	2.41271	52.2427	0.868536	24.2008	1.4223	5.31354	0.859254	81.757	3.15009	109.812	1.83204	68.9709	3.82939	5.37468	0.851346	184.157	6.51277	117.321	1.96484	68.9709	3.82939	5.37468	0.79591	191.667	6.59014	294	4
tan	62.4	pi-	1	0.13957	49.3667	0.819164	13.7826	1.70203	4.98312	2.56018	68.1323	5.08138	52.2427	0.868536	22.7873	3.27848	5.03822	2.58541	80.0682	6.73242	109.812	1.83204	65.3108	8.8407	5.13479	2.56018	180.257	13.2329	117.321	1.96484	65.3108	8.8407	5.13479	2.47459	187.767	13.2801	294	4
hag	62.4	pi-	1	0.13957	49.3667	0.819164	15.9696	0.0322792	6.21923	0.0524335	71.5555	0.903876	52.2427	0.868536	27.6296	0.0508295	6.28299	0.052913	86.1553	0.972278	109.812	1.83204	77.3408	0.148627	6.12314	0.0524335	193.276	2.0331	117.321	1.96484	77.3408	0.148627	6.12314	0.048349	200.785	2.16182	294	4
bis	62.4	pi-	2	0.13957	37.4459	0.620846	9.7911	0	3.26425	0	50.5013	0.620846	39.6343	0.658391	14.8734	0	3.30314	0	57.8109	0.658391	83.4029	1.39052	44.9983	0	3.5165	0	131.918	1.39052	89.1259	1.49167	44.9983	0	3.5165	0	137.641	1.49167	230	5
tan	62.4	pi-	2	0.13957	37.4459	0.620846	10.5211	0.186514	3.72759	0.196272	51.6946	1.00363	39.6343	0.658391	17.4072	0.363103	3.7689	0.197644	60.8104	1.21914	83.4029	1.39052	49.8757	0.962777	3.8459	0.196272	137.125	2.54957	89.1259	1.49167	49.8757	0.962777	3.8459	0.15863	142.848	2.61307	230	5
hag	62.4	pi-	2	0.13957	37.4459	0.620846	12.3215	0.169548	4.55959	0.109891	54.327	0.900284	39.6343	0.658391	21.349	0.31517	4.60667	0.110789	65.59	1.08435	83.4029	1.39052	59.7207	0.854493	4.50809	0.109891	147.632	2.35491	89.1259	1.49167	59.7207	0.854493	4.50809	0.0953894	153.355	2.44155	230	5
bis	62.4	pi-	3	0.13957	26.0034	0.431219	6.9282	0	2.25374	0	35.1854	0.431219	27.5258	0.457349	10.6499	0	2.28048	0	40.4561	0.457349	57.968	0.966823	31.9838	0	2.42177	0	92.3736	0.966823	61.9513	1.03725	31.9838	0	2.42177	0	96.3568	1.03725	164	5
